frequency_threshold | learning_rate | epoch_limit | batch_size |	Accuracy | Precision | Recall
300	0.01	200	800	86.73%	55.71%	25.00%
300	0.01	300	1	88.70%	57.89%	70.51%
300	0.01	300	100	88.88%	58.79%	68.59%
300	0.01	300	500	88.25%	61.47%	42.95%
300	0.01	300	800	87.35%	58.06%	34.62%
300	0.1	1	1	88.52%	57.00%	73.08%
300	0.1	1	100	86.73%	72.22%	8.33%
300	0.1	1	500	86.19%	75.00%	1.92%
300	0.1	1	800	86.28%	80.00%	2.56%
300	0.1	50	1	88.70%	57.98%	69.87%
300	0.1	50	100	88.79%	58.47%	68.59%
300	0.1	50	500	88.88%	60.53%	58.97%
300	0.1	50	800	88.25%	59.69%	49.36%
300	0.1	100	1	87.80%	54.90%	71.79%
300	0.1	100	100	89.15%	59.67%	69.23%
300	0.1	100	500	88.79%	58.76%	66.67%
300	0.1	100	800	88.52%	58.24%	63.46%
300	0.1	200	1	89.42%	61.88%	63.46%
300	0.1	200	100	88.97%	58.92%	69.87%
300	0.1	200	500	88.79%	58.47%	68.59%
300	0.1	200	800	88.88%	58.79%	68.59%
300	0.1	300	1	87.53%	54.19%	70.51%
300	0.1	300	100	88.79%	58.29%	69.87%
300	0.1	300	500	89.06%	59.24%	69.87%
300	0.1	300	800	88.79%	58.47%	68.59%
300	1	1	1	77.04%	35.80%	80.77%
300	1	1	100	88.16%	57.50%	58.97%
300	1	1	500	87.71%	72.09%	19.87%
300	1	1	800	87.26%	73.33%	14.10%
300	1	50	1	88.07%	58.52%	50.64%
300	1	50	100	88.79%	58.20%	70.51%
300	1	50	500	88.79%	58.38%	69.23%
300	1	50	800	88.97%	58.92%	69.87%
300	1	100	1	83.77%	44.44%	64.10%
300	1	100	100	89.51%	60.77%	70.51%
300	1	100	500	88.97%	58.92%	69.87%
300	1	100	800	88.97%	58.73%	71.15%
300	1	200	1	86.10%	50.85%	19.23%
300	1	200	100	88.97%	59.02%	69.23%
300	1	200	500	88.79%	58.20%	70.51%
300	1	200	800	88.70%	57.98%	69.87%
300	1	300	1	87.35%	59.49%	30.13%
300	1	300	100	88.79%	58.20%	70.51%
300	1	300	500	88.79%	58.20%	70.51%
300	1	300	800	88.79%	58.29%	69.87%
300	10	1	1	84.93%	47.39%	69.87%
300	10	1	100	88.97%	58.64%	71.79%
300	10	1	500	88.70%	57.98%	69.87%
300	10	1	800	86.10%	50.22%	73.08%
300	10	50	1	82.15%	40.09%	55.77%
300	10	50	100	88.88%	58.33%	71.79%
300	10	50	500	87.89%	54.93%	75.00%
300	10	50	800	88.88%	58.79%	68.59%
300	10	100	1	79.28%	38.60%	81.41%
300	10	100	100	89.15%	59.46%	70.51%
300	10	100	500	89.06%	59.77%	66.67%
300	10	100	800	89.42%	60.56%	69.87%
300	10	200	1	89.15%	73.33%	35.26%
300	10	200	100	89.15%	59.46%	70.51%
300	10	200	500	89.24%	59.78%	70.51%
